:START_ID,:END_ID,:TYPE
140600,140623,CONTAINS
140681,140600,BELONGS_TO
140600,140681,CONTAINS
140700,140000,BELONGS_TO
140000,140700,CONTAINS
140702,140700,BELONGS_TO
140700,140702,CONTAINS
140703,140700,BELONGS_TO
140700,140703,CONTAINS
140721,140700,BELONGS_TO
140700,140721,CONTAINS
140722,140700,BELONGS_TO
140700,140722,CONTAINS
140723,140700,BELONGS_TO
140700,140723,CONTAINS
140724,140700,BELONGS_TO
140700,140724,CONTAINS
140725,140700,BELONGS_TO
140700,140725,CONTAINS
140727,140700,BELONGS_TO
140700,140727,CONTAINS
140728,140700,BELONGS_TO
140700,140728,CONTAINS
140729,140700,BELONGS_TO
140700,140729,CONTAINS
140781,140700,BELONGS_TO
140700,140781,CONTAINS
140800,140000,BELONGS_TO
140000,140800,CONTAINS
140802,140800,BELONGS_TO
140800,140802,CONTAINS
140821,140800,BELONGS_TO
140800,140821,CONTAINS
140822,140800,BELONGS_TO
140800,140822,CONTAINS
140823,140800,BELONGS_TO
140800,140823,CONTAINS
140824,140800,BELONGS_TO
140800,140824,CONTAINS
140825,140800,BELONGS_TO
140800,140825,CONTAINS
140826,140800,BELONGS_TO
140800,140826,CONTAINS
140827,140800,BELONGS_TO
140800,140827,CONTAINS
140828,140800,BELONGS_TO
140800,140828,CONTAINS
140829,140800,BELONGS_TO
140800,140829,CONTAINS
140830,140800,BELONGS_TO
140800,140830,CONTAINS
140881,140800,BELONGS_TO
140800,140881,CONTAINS
140882,140800,BELONGS_TO
140800,140882,CONTAINS
140900,140000,BELONGS_TO
140000,140900,CONTAINS
140902,140900,BELONGS_TO
140900,140902,CONTAINS
140921,140900,BELONGS_TO
140900,140921,CONTAINS
140922,140900,BELONGS_TO
140900,140922,CONTAINS
140923,140900,BELONGS_TO
140900,140923,CONTAINS
140924,140900,BELONGS_TO
140900,140924,CONTAINS
140925,140900,BELONGS_TO
140900,140925,CONTAINS
140926,140900,BELONGS_TO
140900,140926,CONTAINS
140927,140900,BELONGS_TO
140900,140927,CONTAINS
140928,140900,BELONGS_TO
140900,140928,CONTAINS
140929,140900,BELONGS_TO
140900,140929,CONTAINS
140930,140900,BELONGS_TO
140900,140930,CONTAINS
140931,140900,BELONGS_TO
140900,140931,CONTAINS
140932,140900,BELONGS_TO
140900,140932,CONTAINS
140981,140900,BELONGS_TO
140900,140981,CONTAINS
141000,140000,BELONGS_TO
140000,141000,CONTAINS
141002,141000,BELONGS_TO
141000,141002,CONTAINS
141021,141000,BELONGS_TO
141000,141021,CONTAINS
141022,141000,BELONGS_TO
141000,141022,CONTAINS
141023,141000,BELONGS_TO
141000,141023,CONTAINS
141024,141000,BELONGS_TO
141000,141024,CONTAINS
141025,141000,BELONGS_TO
141000,141025,CONTAINS
141026,141000,BELONGS_TO
