START_ID,END_ID,TYPE
center_290,130822,LOCATED_AT
center_291,131028,LOCATED_AT
center_292,130900,LOCATED_AT
center_293,130104,LOCATED_AT
center_294,131026,LOCATED_AT
center_295,130727,LOCATED_AT
center_296,130633,LOCATED_AT
center_297,130633,LOCATED_AT
center_298,131000,LOCATED_AT
center_299,130900,LOCATED_AT
center_300,130600,LOCATED_AT
center_301,130607,LOCATED_AT
center_302,130708,LOCATED_AT
center_303,131000,LOCATED_AT
center_304,131025,LOCATED_AT
center_305,130900,LOCATED_AT
center_306,130506,LOCATED_AT
center_307,130602,LOCATED_AT
center_308,130726,LOCATED_AT
center_309,210902,LOCATED_AT
center_310,320703,LOCATED_AT
center_311,130606,LOCATED_AT
center_312,220102,LOCATED_AT
center_313,120113,LOCATED_AT
center_314,120116,LOCATED_AT
center_315,120113,LOCATED_AT
center_316,120116,LOCATED_AT
center_317,120119,LOCATED_AT
center_318,650100,LOCATED_AT
center_319,220102,LOCATED_AT
