nodeId:ID,name,level,:LABEL
610525,澄城县,District,District
610526,蒲城县,District,District
610527,白水县,District,District
610528,富平县,District,District
610581,韩城市,District,District
610582,华阴市,District,District
610600,延安市,City,City
610602,宝塔区,District,District
610603,安塞区,District,District
610621,延长县,District,District
610622,延川县,District,District
610625,志丹县,District,District
610626,吴起县,District,District
610627,甘泉县,District,District
610628,富县,District,District
610629,洛川县,District,District
610630,宜川县,District,District
610631,黄龙县,District,District
610632,黄陵县,District,District
610681,子长市,District,District
610700,汉中市,City,City
610702,汉台区,District,District
610703,南郑区,District,District
610722,城固县,District,District
610723,洋县,District,District
610724,西乡县,District,District
610725,勉县,District,District
610726,宁强县,District,District
610727,略阳县,District,District
610728,镇巴县,District,District
610729,留坝县,District,District
610730,佛坪县,District,District
610800,榆林市,City,City
610802,榆阳区,District,District
610803,横山区,District,District
610822,府谷县,District,District
610824,靖边县,District,District
610825,定边县,District,District
610826,绥德县,District,District
610827,米脂县,District,District
610828,佳县,District,District
610829,吴堡县,District,District
610830,清涧县,District,District
610831,子洲县,District,District
610881,神木市,District,District
610900,安康市,City,City
610902,汉滨区,District,District
610921,汉阴县,District,District
610922,石泉县,District,District
610923,宁陕县,District,District
610924,紫阳县,District,District
610925,岚皋县,District,District
610926,平利县,District,District
610927,镇坪县,District,District
610928,旬阳县,District,District
610929,白河县,District,District
611000,商洛市,City,City
611002,商州区,District,District
611021,洛南县,District,District
611022,丹凤县,District,District
611023,商南县,District,District
611024,山阳县,District,District
611025,镇安县,District,District
611026,柞水县,District,District
620000,甘肃省,Province,Province
620100,兰州市,City,City
620102,城关区,District,District
620103,七里河区,District,District
620104,西固区,District,District
620105,安宁区,District,District
620111,红古区,District,District
620121,永登县,District,District
620122,皋兰县,District,District
620123,榆中县,District,District
620200,嘉峪关市,City,City
620300,金昌市,City,City
620302,金川区,District,District
620321,永昌县,District,District
620400,白银市,City,City
620402,白银区,District,District
620403,平川区,District,District
620421,靖远县,District,District
620422,会宁县,District,District
620423,景泰县,District,District
620500,天水市,City,City
620502,秦州区,District,District
620503,麦积区,District,District
620521,清水县,District,District
620522,秦安县,District,District
620523,甘谷县,District,District
620524,武山县,District,District
620525,张家川回族自治县,District,District
620600,武威市,City,City
620602,凉州区,District,District
620621,民勤县,District,District
620622,古浪县,District,District
620623,天祝藏族自治县,District,District
620700,张掖市,City,City
620702,甘州区,District,District
620721,肃南裕固族自治县,District,District
620722,民乐县,District,District
620723,临泽县,District,District
620724,高台县,District,District
620725,山丹县,District,District
620800,平凉市,City,City
620802,崆峒区,District,District
620821,泾川县,District,District
620822,灵台县,District,District
620823,崇信县,District,District
620825,庄浪县,District,District
620826,静宁县,District,District
620881,华亭市,District,District
620900,酒泉市,City,City
620902,肃州区,District,District
620921,金塔县,District,District
620922,瓜州县,District,District
620923,肃北蒙古族自治县,District,District
620924,阿克塞哈萨克族自治县,District,District
620981,玉门市,District,District
620982,敦煌市,District,District
621000,庆阳市,City,City
621002,西峰区,District,District
621021,庆城县,District,District
621022,环县,District,District
621023,华池县,District,District
621024,合水县,District,District
621025,正宁县,District,District
621026,宁县,District,District
621027,镇原县,District,District
621100,定西市,City,City
621102,安定区,District,District
621121,通渭县,District,District
621122,陇西县,District,District
621123,渭源县,District,District
621124,临洮县,District,District
621125,漳县,District,District
621126,岷县,District,District
621200,陇南市,City,City
621202,武都区,District,District
621221,成县,District,District
621222,文县,District,District
621223,宕昌县,District,District
621224,康县,District,District
621225,西和县,District,District
621226,礼县,District,District
621227,徽县,District,District
621228,两当县,District,District
622900,临夏回族自治州,City,City
622901,临夏市,District,District
622921,临夏县,District,District
622922,康乐县,District,District
622923,永靖县,District,District
622924,广河县,District,District
622925,和政县,District,District
622926,东乡族自治县,District,District
622927,积石山保安族东乡族撒拉族自治县,District,District
623000,甘南藏族自治州,City,City
623001,合作市,District,District
623021,临潭县,District,District
623022,卓尼县,District,District
623023,舟曲县,District,District
623024,迭部县,District,District
623025,玛曲县,District,District
623026,碌曲县,District,District
623027,夏河县,District,District
630000,青海省,Province,Province
630100,西宁市,City,City
630102,城东区,District,District
630103,城中区,District,District
630104,城西区,District,District
630105,城北区,District,District
630106,湟中区,District,District
630121,大通回族土族自治县,District,District
630123,湟源县,District,District
630200,海东市,City,City
630202,乐都区,District,District
630203,平安区,District,District
630222,民和回族土族自治县,District,District
630223,互助土族自治县,District,District
630224,化隆回族自治县,District,District
630225,循化撒拉族自治县,District,District
632200,海北藏族自治州,City,City
632221,门源回族自治县,District,District
632222,祁连县,District,District
632223,海晏县,District,District
632224,刚察县,District,District
632300,黄南藏族自治州,City,City
632301,同仁市,District,District
632322,尖扎县,District,District
632323,泽库县,District,District
632324,河南蒙古族自治县,District,District
632500,海南藏族自治州,City,City
632521,共和县,District,District
632522,同德县,District,District
632523,贵德县,District,District
632524,兴海县,District,District
632525,贵南县,District,District
632600,果洛藏族自治州,City,City
632621,玛沁县,District,District
632622,班玛县,District,District
632623,甘德县,District,District
632624,达日县,District,District
632625,久治县,District,District
632626,玛多县,District,District
632700,玉树藏族自治州,City,City
632701,玉树市,District,District
632722,杂多县,District,District
632723,称多县,District,District
632724,治多县,District,District
632725,囊谦县,District,District
632726,曲麻莱县,District,District
632800,海西蒙古族藏族自治州,City,City
632801,格尔木市,District,District
632802,德令哈市,District,District
632803,茫崖市,District,District
632821,乌兰县,District,District
632822,都兰县,District,District
632823,天峻县,District,District
640000,宁夏回族自治区,Province,Province
640100,银川市,City,City
640104,兴庆区,District,District
640105,西夏区,District,District
640106,金凤区,District,District
640121,永宁县,District,District
640122,贺兰县,District,District
640181,灵武市,District,District
640200,石嘴山市,City,City
640202,大武口区,District,District
640205,惠农区,District,District
640221,平罗县,District,District
640300,吴忠市,City,City
640302,利通区,District,District
640303,红寺堡区,District,District
640323,盐池县,District,District
640324,同心县,District,District
640381,青铜峡市,District,District
640400,固原市,City,City
640402,原州区,District,District
640422,西吉县,District,District
640423,隆德县,District,District
640424,泾源县,District,District
640425,彭阳县,District,District
640500,中卫市,City,City
640502,沙坡头区,District,District
640521,中宁县,District,District
640522,海原县,District,District
650000,新疆维吾尔自治区,Province,Province
650100,乌鲁木齐市,City,City
650102,天山区,District,District
650103,沙依巴克区,District,District
650104,新市区,District,District
650105,水磨沟区,District,District
650106,头屯河区,District,District
650107,达坂城区,District,District
650109,米东区,District,District
650121,乌鲁木齐县,District,District
650200,克拉玛依市,City,City
650202,独山子区,District,District
650203,克拉玛依区,District,District
650204,白碱滩区,District,District
650205,乌尔禾区,District,District
650400,吐鲁番市,City,City
650402,高昌区,District,District
650421,鄯善县,District,District
650422,托克逊县,District,District
650500,哈密市,City,City
650502,伊州区,District,District
650521,巴里坤哈萨克自治县,District,District
650522,伊吾县,District,District
652300,昌吉回族自治州,City,City
652301,昌吉市,District,District
652302,阜康市,District,District
652323,呼图壁县,District,District
652324,玛纳斯县,District,District
